miRNA,index
hsa-miR-30c-5p,i209
hsa-miR-30c-1-3p,i210
hsa-miR-30c-2-3p,i211
hsa-miR-30d-5p,i212
hsa-miR-30e-5p,i213
hsa-miR-30e-3p,i214
hsa-miR-31-5p,i215
hsa-miR-32-5p,i216
hsa-miR-31-3p,i217
hsa-miR-3125,i218
hsa-miR-3127-5p,i219
hsa-miR-3133,i220
hsa-miR-3134,i221
hsa-miR-3146,i222
hsa-miR-3149,i223
hsa-miR-3152-3p,i224
hsa-miR-3153,i225
hsa-miR-3163,i226
hsa-miR-3167,i227
hsa-miR-3174,i228
hsa-miR-3180-5p,i229
hsa-miR-3192-5p,i230
hsa-miR-3195,i231
hsa-miR-320a-3p,i232
hsa-miR-320c,i233
hsa-miR-320d,i234
hsa-miR-323a-3p,i235
hsa-miR-324-5p,i236
hsa-miR-323a-5p,i237
hsa-miR-325,i238
hsa-miR-326,i239
hsa-miR-328-3p,i240
hsa-miR-329-3p,i241
hsa-miR-33a-5p,i242
hsa-miR-330-3p,i243
hsa-miR-331-3p,i244
hsa-miR-335-5p,i245
hsa-miR-335-3p,i246
hsa-miR-337-3p,i247
hsa-miR-337-5p,i248
hsa-miR-339-5p,i249
hsa-miR-33b-5p,i250
hsa-miR-340-5p,i251
hsa-miR-342-3p,i252
hsa-miR-345-5p,i253
hsa-miR-346,i254
hsa-miR-34a-5p,i255
hsa-miR-34b-3p,i256
hsa-miR-34b-5p,i257
hsa-miR-34c-5p,i258
hsa-miR-34c-3p,i259
hsa-miR-122b-5p,i260
hsa-miR-3606-5p,i261
hsa-miR-361-5p,i262
hsa-miR-361-3p,i263
hsa-miR-3614-3p,i264
hsa-miR-362-3p,i265
hsa-miR-363-3p,i266
hsa-miR-363-5p,i267
hsa-miR-3648,i268
hsa-miR-365a-3p,i269
hsa-miR-3651,i270
hsa-miR-3658,i271
hsa-miR-3659,i272
hsa-miR-3662,i273
hsa-miR-3663-3p,i274
hsa-miR-3665,i275
hsa-miR-3668,i276
hsa-miR-367-3p,i277
hsa-miR-3672,i278
hsa-miR-3679-5p,i279
hsa-miR-3682-3p,i280
hsa-miR-3692-5p,i281
hsa-miR-370-3p,i282
hsa-miR-371a-3p,i283
hsa-miR-371a-5p,i284
hsa-miR-372-3p,i285
hsa-miR-373-5p,i286
hsa-miR-373-3p,i287
hsa-miR-374a-5p,i288
hsa-miR-374b-5p,i289
hsa-miR-375-3p,i290
hsa-miR-376a-3p,i291
hsa-miR-376c-3p,i292
hsa-miR-377-3p,i293
hsa-miR-378a-3p,i294
hsa-miR-378i,i295
hsa-miR-379-5p,i296
hsa-miR-380-5p,i297
hsa-miR-381-3p,i298
hsa-miR-382-5p,i299
hsa-miR-383-5p,i300
hsa-miR-3911,i301
hsa-miR-3914,i302
hsa-miR-3945,i303
hsa-miR-3974,i304
hsa-miR-409-5p,i305
hsa-miR-409-3p,i306
hsa-miR-410-5p,i307
hsa-miR-411-3p,i308
hsa-miR-412-3p,i309
hsa-miR-422a,i310
hsa-miR-423-3p,i311
hsa-miR-423-5p,i312
hsa-miR-424-5p,i313
hsa-miR-425-5p,i314
hsa-miR-4252,i315
hsa-miR-4270,i316
hsa-miR-4271,i317
hsa-miR-4281,i318
hsa-miR-4284,i319
hsa-miR-429,i320
hsa-miR-4298,i321
hsa-miR-4306,i322
hsa-miR-431-5p,i323
hsa-miR-432-5p,i324
hsa-miR-4428,i325
hsa-miR-4450,i326
hsa-miR-4453,i327
hsa-miR-4460,i328
hsa-miR-4464,i329
hsa-miR-4470,i330
hsa-miR-4474-3p,i331
hsa-miR-4475,i332
hsa-miR-4476,i333
hsa-miR-449a,i334
hsa-miR-449b-5p,i335
hsa-miR-449b-3p,i336
hsa-miR-450a-5p,i337
hsa-miR-4504,i338
hsa-miR-4509,i339
hsa-miR-451a,i340
hsa-miR-4518,i341
hsa-miR-452-5p,i342
hsa-miR-454-3p,i343
hsa-miR-4633-5p,i344
hsa-miR-4635,i345
hsa-miR-4639-5p,i346
hsa-miR-4652-5p,i347
hsa-miR-4659b-5p,i348
hsa-miR-4661-3p,i349
hsa-miR-4662a-3p,i350
hsa-miR-4668-5p,i351
hsa-miR-4674,i352
hsa-miR-4676-5p,i353
hsa-miR-4678,i354
hsa-miR-4680-3p,i355
hsa-miR-4693-5p,i356
hsa-miR-4700-5p,i357
hsa-miR-4703-5p,i358
hsa-miR-4716-3p,i359
hsa-miR-4720-3p,i360
hsa-miR-4723-3p,i361
hsa-miR-4727-3p,i362
hsa-miR-4729,i363
hsa-miR-4732-5p,i364
hsa-miR-4735-3p,i365
hsa-miR-4745-5p,i366
hsa-miR-4759,i367
hsa-miR-4765,i368
hsa-miR-4767,i369
